Rank,PlayerPlayerId,PlayerShortName,Targets,Receptions,ReceivingYards,ReceivingTDs,HogRate,SnapShare,AverageTargetDistance,AirYards,AirYardsPerGame,AirYardsPerReception,Targets,RedZoneTargets,EndzoneTargets,TargetAccuracy,TargetShare,FantasyPointsPerTarget
1,15048,T. Kelce,145,105,1416,11,17,86.6,8.6,1245,83,11.9,145,22,11,7.71,25,2.14
2,16964,D. Waller,146,107,1195,9,15.6,92.8,8,1161,72.6,10.9,146,24,10,7.53,28,1.89
3,16656,L. Thomas,110,72,670,6,11.2,97.8,7.1,780,48.8,10.8,110,17,8,7.25,19.2,1.61
4,19491,R. Tonyan,59,52,586,11,10.5,63,7.5,443,29.5,8.5,59,11,6,8.05,12.9,2.99
5,20805,T. Hockenson,101,67,723,6,13.7,77.9,7.4,751,46.9,11.2,101,17,7,7.48,18,1.72
6,19803,M. Andrews,89,58,701,7,15.4,67.1,10.2,911,65.1,15.7,89,18,12,7.28,24.9,1.91
7,19853,M. Gesicki,85,53,703,6,14.2,65,11.9,1012,67.5,19.1,85,16,12,7.21,16.3,1.87
8,10974,R. Gronkowski,77,45,623,7,10,77.4,11.3,866,54.1,19.2,77,17,12,6.79,12.7,1.94
9,19843,H. Hurst,87,56,571,6,11.4,73.8,7.1,614,38.4,11,87,15,5,7.3,14.4,1.71
10,20753,N. Fant,93,62,673,3,13.5,78.1,6.7,618,44.1,10,93,12,3,7.12,19.3,1.58
11,19920,D. Schultz,89,63,615,4,9.4,88.9,6.5,578,36.1,9.2,89,14,3,7.61,14.4,1.65
12,17975,H. Henry,92,60,613,4,10.8,87.3,7.9,722,51.6,12,92,14,8,7.01,16.8,1.58
13,11488,J. Graham,76,50,456,8,12.2,61.7,6.5,491,30.7,9.8,76,20,12,6.97,12.8,1.89
14,18912,E. Engram,109,63,654,1,13.8,86.4,7.3,790,49.4,12.5,109,13,3,7.2,21.8,1.29
15,18990,J. Smith,65,41,448,8,10,74,5.8,377,26.9,9.2,65,18,9,7.27,16,2.16
16,16451,E. Ebron,91,56,558,5,13.5,69.6,7.5,681,45.4,12.2,91,19,7,7.34,14.9,1.54
17,8534,J. Cook,60,37,504,7,13.3,47.5,11.1,668,44.5,18.1,60,15,8,6.92,12.4,2.12
18,18032,T. Higbee,60,44,522,5,7.6,79,8,479,31.9,10.9,60,6,3,7.79,11.3,2.1
19,19063,G. Kittle,63,48,634,2,14.9,87.4,7.3,460,57.5,9.6,63,4,1,7.58,24.1,1.99
20,19863,D. Goedert,65,46,524,3,11.5,80.4,8.8,569,51.7,12.4,65,6,5,6.73,16.7,1.79
21,17963,A. Hooper,70,46,435,4,10.9,78.1,7,491,37.8,10.7,70,9,7,6.29,18.9,1.62
22,19659,D. Arnold,45,31,438,4,10.6,43,12.5,561,37.4,18.1,45,6,4,6.94,8.8,2.15
23,18935,G. Everett,61,41,417,1,11.2,54.7,5.7,345,23,8.4,61,5,2,6.93,11.3,1.52
24,19296,A. Firkser,53,39,387,1,18.3,30.9,7.1,377,25.1,9.7,53,7,3,7.97,12.2,1.58
25,19903,J. Akins,49,37,403,1,13.2,52.3,7.8,380,29.2,10.3,49,8,5,8.47,11.8,1.71
26,14918,T. Eifert,60,36,349,2,11.5,62.3,8,482,34.4,13.4,60,11,7,6.58,11.6,1.38
27,18900,M. Alie-Cox,38,31,394,2,8.8,48.8,6.8,257,18.4,8.3,38,5,2,8.55,8.1,2.12
28,20931,D. Sample,53,40,349,1,6.4,83.5,4.3,225,14.1,5.6,53,11,3,7.88,9.4,1.49
29,14856,Z. Ertz,72,36,335,1,11.8,87.2,7.4,532,48.4,14.8,72,7,2,6.04,18.8,1.05
30,19947,C. Herndon,46,31,287,3,8.9,69.7,7.5,343,26.4,11.1,46,4,4,7.17,12.1,1.6
