Rank,PlayerPlayerId,PlayerShortName,PlayerAgeExact,PassAttemptsPerGame,PassingYards,CompletionPercentage,PassingTouchdowns,Interceptions,PlayactionPassCompletionPercentage,TruePasserRating,ReceiverTargetSeparation,DroppedPasses,AccuracyRating,RedZoneAttempts,RedZoneCompletionPercentage,InterceptablePasses,InterceptablePassesPerGame
1,19801,J. Allen,26.3,37.9,4407,63.41,36,15,56.37,85.88,1.77,33,7.8,129,56.58,36,2.11
2,21681,J. Herbert,24.5,39.5,5014,65.92,38,15,68.15,96.26,1.7,40,7.83,112,57.14,29,1.7
3,4314,T. Brady,45.1,42.3,5316,67.45,43,12,65.41,106.12,1.74,42,7.64,129,62.01,20,1.17
4,18890,P. Mahomes,27,38.7,4839,66.26,37,13,66.33,97.35,1.68,31,8.05,109,59.63,28,1.64
5,9038,M. Stafford,34.6,35.4,4886,67.22,41,17,62.91,96.51,1.73,34,7.69,116,55.17,36,2.11
6,2593,A. Rodgers,38.8,33.2,4115,68.92,37,4,68.38,111.46,1.58,20,7.77,116,58.62,14,0.87
7,18055,D. Prescott,29.1,37.2,4449,68.79,37,10,70,99.92,1.58,34,7.94,102,63.72,26,1.62
8,21693,J. Burrow,25.7,32.5,4611,70.38,34,14,57.75,109.02,1.83,22,7.98,60,63.33,21,1.31
9,21831,J. Hurts,24.1,28.8,3144,61.34,16,9,64.34,65.46,2.02,30,7.37,54,59.25,37,2.46
10,20889,K. Murray,25.1,34.4,3787,69.23,24,10,60.38,106.89,1.57,24,7.81,76,52.63,14,1
11,14252,K. Cousins,34,35.1,4221,66.31,33,7,65.18,99.79,1.56,22,7.56,79,60.75,22,1.37
12,13799,R. Tannehill,34.1,31.2,3734,67.23,21,14,60.62,72.67,1.6,22,7.93,83,60.24,41,2.41
13,16311,D. Carr,31.4,36.8,4804,68.37,23,14,71.07,90.01,2.07,28,8.01,86,55.81,29,1.7
14,17920,C. Wentz,29.7,30.4,3563,62.4,27,7,56,83.69,1.69,25,7.22,75,57.33,28,1.64
15,19781,L. Jackson,25.7,31.8,2882,64.39,16,13,58.64,84.01,1.81,24,7.74,50,58,22,1.83
16,14536,R. Wilson,33.8,28.6,3113,64.75,25,6,66.92,97.65,1.56,17,7.53,49,53.06,16,1.14
17,16041,J. Garoppolo,30.8,29.4,3810,68.25,20,12,70.99,88.2,1.58,24,7.91,58,56.89,31,2.06
18,22496,M. Jones,24,30.6,3802,67.56,22,13,67.6,87.11,1.59,14,7.73,74,60.81,25,1.47
19,17179,T. Heinicke,29.5,30.9,3419,64.97,20,15,64.7,65.15,1.49,21,7.41,53,62.26,44,2.75
20,732,M. Ryan,37.3,32.9,3968,66.96,20,12,65.64,86.44,1.48,33,7.83,89,53.93,26,1.52
21,3807,B. Roethlisberger,40.5,37.8,3740,64.46,22,10,55.81,71.03,1.71,30,7.5,88,52.27,39,2.43
22,22490,T. Lawrence,22.9,35.4,3641,59.63,12,17,62.26,54.21,1.6,43,7.3,58,48.27,50,2.94
23,16497,T. Bridgewater,29.8,30.4,3052,66.9,18,7,57.52,83.22,2.06,22,7.57,64,60.93,25,1.78
24,17922,J. Goff,27.9,35.3,3245,67.2,19,8,65.13,87.67,1.81,25,7.48,59,49.15,21,1.5
25,19790,B. Mayfield,27.4,29.9,3010,60.52,17,13,62.38,83.98,1.74,25,7.14,48,60.41,20,1.42
26,21677,T. Tagovailoa,24.5,29.8,2653,67.78,16,10,68.98,80.48,1.82,20,7.98,57,64.91,24,1.84
27,20841,D. Jones,25.3,32.8,2428,64.26,10,7,68.86,71.75,1.81,19,7.17,41,39.02,24,2.18
28,19812,S. Darnold,25.3,33.8,2526,59.85,9,13,61.05,65.63,1.7,30,7.07,45,53.33,26,2.16
29,22505,D. Mills,23.9,30.3,2664,66.75,16,10,57.14,78.91,1.65,13,7.36,29,65.51,24,1.84
30,22495,Z. Wilson,23.1,29.5,2334,55.61,9,11,42.85,72.15,1.74,41,7.78,43,60.46,20,1.53
31,22492,J. Fields,23.5,22.5,1870,58.88,7,10,45.83,58.24,1.85,11,6.65,33,57.57,22,1.83
